cohort,deleted_accounts,new_accounts,churn_rate
2019-12,60,289,17.191977077363894
2020-01,47,223,17.40740740740741
2020-02,27,184,12.796208530805686
2020-03,37,244,13.167259786476867
2020-04,55,473,10.416666666666668
2020-05,110,837,11.615628299894404
2020-06,364,2615,12.21886539107083
2020-07,442,3601,10.932475884244374
2020-08,327,3417,8.733974358974358
2020-09,419,4221,9.030172413793103
2020-10,213,7725,2.683295540438398
